data_product_id,name,domain,owner,tier,business_criticality,upstream_systems,downstream_consumers,freshness_sla_hours,reliability_sla_percent,ai_consumption_allowed,governance_required,executive_visible
DP-001,customer_360,customer,Customer Platform,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True
DP-002,revenue_metrics,finance,Finance Analytics,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True
DP-003,fraud_detection_features,risk,Fraud MLOps,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True
DP-004,payment_risk_scoring,risk,Payments Risk,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True
DP-005,enterprise_rag_search,ai_platform,GenAI Platform,tier_2,high,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",12,97.5,True,True,True
DP-006,support_intelligence,operations,Support Analytics,tier_2,high,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",12,97.5,False,True,True
DP-007,ai_governance_gateway,governance,AI Governance,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True
DP-008,semantic_metrics_layer,governance,Analytics Engineering,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True
DP-009,data_quality_certification,governance,Data Quality,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True
DP-010,pipeline_reliability_monitoring,operations,Data Platform,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,False,True,True
DP-011,supply_chain_risk_monitoring,operations,Supply Chain Analytics,tier_2,medium,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",12,97.5,False,True,False
DP-012,executive_reporting_mart,executive,Executive Analytics,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,False,True,True
