data_product_id,name,domain,owner,tier,business_criticality,upstream_systems,downstream_consumers,freshness_sla_hours,reliability_sla_percent,ai_consumption_allowed,governance_required,executive_visible,data_product_health_score,status,drivers,recommended_action
DP-001,customer_360,customer,Customer Platform,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True,72.68,watch,Signal degradation detected.,Monitor.
DP-002,revenue_metrics,finance,Finance Analytics,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True,68.5,degraded,Signal degradation detected.,Escalate to owner.
DP-003,fraud_detection_features,risk,Fraud MLOps,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True,72.23,watch,Signal degradation detected.,Monitor.
DP-004,payment_risk_scoring,risk,Payments Risk,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True,72.43,watch,Signal degradation detected.,Monitor.
DP-005,enterprise_rag_search,ai_platform,GenAI Platform,tier_2,high,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",12,97.5,True,True,True,69.14,degraded,Signal degradation detected.,Escalate to owner.
DP-006,support_intelligence,operations,Support Analytics,tier_2,high,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",12,97.5,False,True,True,71.19,watch,Signal degradation detected.,Monitor.
DP-007,ai_governance_gateway,governance,AI Governance,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True,70.6,watch,Signal degradation detected.,Monitor.
DP-008,semantic_metrics_layer,governance,Analytics Engineering,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True,73.75,watch,Signal degradation detected.,Monitor.
DP-009,data_quality_certification,governance,Data Quality,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,True,True,True,71.47,watch,Signal degradation detected.,Monitor.
DP-010,pipeline_reliability_monitoring,operations,Data Platform,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,False,True,True,69.92,degraded,Signal degradation detected.,Escalate to owner.
DP-011,supply_chain_risk_monitoring,operations,Supply Chain Analytics,tier_2,medium,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",12,97.5,False,True,False,71.0,watch,Signal degradation detected.,Monitor.
DP-012,executive_reporting_mart,executive,Executive Analytics,tier_1,critical,"data_quality_command_center,pipeline_reliability_incident_lab","executive_dashboard,ai_agents,business_reporting",4,99.0,False,True,True,71.37,watch,Signal degradation detected.,Monitor.
