system_name,data_product_id,name
data_quality_command_center,DP-001,customer_360
data_quality_command_center,DP-002,revenue_metrics
data_quality_command_center,DP-003,fraud_detection_features
data_quality_command_center,DP-004,payment_risk_scoring
data_quality_command_center,DP-005,enterprise_rag_search
data_quality_command_center,DP-006,support_intelligence
data_quality_command_center,DP-007,ai_governance_gateway
data_quality_command_center,DP-008,semantic_metrics_layer
data_quality_command_center,DP-009,data_quality_certification
data_quality_command_center,DP-010,pipeline_reliability_monitoring
data_quality_command_center,DP-011,supply_chain_risk_monitoring
data_quality_command_center,DP-012,executive_reporting_mart
enterprise_rag_evaluation_lab,DP-001,customer_360
enterprise_rag_evaluation_lab,DP-002,revenue_metrics
enterprise_rag_evaluation_lab,DP-003,fraud_detection_features
enterprise_rag_evaluation_lab,DP-004,payment_risk_scoring
enterprise_rag_evaluation_lab,DP-005,enterprise_rag_search
enterprise_rag_evaluation_lab,DP-006,support_intelligence
enterprise_rag_evaluation_lab,DP-007,ai_governance_gateway
enterprise_rag_evaluation_lab,DP-008,semantic_metrics_layer
enterprise_rag_evaluation_lab,DP-009,data_quality_certification
enterprise_rag_evaluation_lab,DP-010,pipeline_reliability_monitoring
enterprise_rag_evaluation_lab,DP-011,supply_chain_risk_monitoring
enterprise_rag_evaluation_lab,DP-012,executive_reporting_mart
payments_fraud_feature_store_mlops,DP-001,customer_360
payments_fraud_feature_store_mlops,DP-002,revenue_metrics
payments_fraud_feature_store_mlops,DP-003,fraud_detection_features
payments_fraud_feature_store_mlops,DP-004,payment_risk_scoring
payments_fraud_feature_store_mlops,DP-005,enterprise_rag_search
payments_fraud_feature_store_mlops,DP-006,support_intelligence
payments_fraud_feature_store_mlops,DP-007,ai_governance_gateway
payments_fraud_feature_store_mlops,DP-008,semantic_metrics_layer
payments_fraud_feature_store_mlops,DP-009,data_quality_certification
payments_fraud_feature_store_mlops,DP-010,pipeline_reliability_monitoring
payments_fraud_feature_store_mlops,DP-011,supply_chain_risk_monitoring
payments_fraud_feature_store_mlops,DP-012,executive_reporting_mart
pipeline_reliability_incident_lab,DP-001,customer_360
pipeline_reliability_incident_lab,DP-002,revenue_metrics
pipeline_reliability_incident_lab,DP-003,fraud_detection_features
pipeline_reliability_incident_lab,DP-004,payment_risk_scoring
pipeline_reliability_incident_lab,DP-005,enterprise_rag_search
pipeline_reliability_incident_lab,DP-006,support_intelligence
pipeline_reliability_incident_lab,DP-007,ai_governance_gateway
pipeline_reliability_incident_lab,DP-008,semantic_metrics_layer
pipeline_reliability_incident_lab,DP-009,data_quality_certification
pipeline_reliability_incident_lab,DP-010,pipeline_reliability_monitoring
pipeline_reliability_incident_lab,DP-011,supply_chain_risk_monitoring
pipeline_reliability_incident_lab,DP-012,executive_reporting_mart
semantic_metrics_trust_layer,DP-001,customer_360
semantic_metrics_trust_layer,DP-002,revenue_metrics
semantic_metrics_trust_layer,DP-003,fraud_detection_features
semantic_metrics_trust_layer,DP-004,payment_risk_scoring
semantic_metrics_trust_layer,DP-005,enterprise_rag_search
semantic_metrics_trust_layer,DP-006,support_intelligence
semantic_metrics_trust_layer,DP-007,ai_governance_gateway
semantic_metrics_trust_layer,DP-008,semantic_metrics_layer
semantic_metrics_trust_layer,DP-009,data_quality_certification
semantic_metrics_trust_layer,DP-010,pipeline_reliability_monitoring
semantic_metrics_trust_layer,DP-011,supply_chain_risk_monitoring
semantic_metrics_trust_layer,DP-012,executive_reporting_mart
ai_data_governance_gateway,DP-001,customer_360
ai_data_governance_gateway,DP-002,revenue_metrics
ai_data_governance_gateway,DP-003,fraud_detection_features
ai_data_governance_gateway,DP-004,payment_risk_scoring
ai_data_governance_gateway,DP-005,enterprise_rag_search
ai_data_governance_gateway,DP-006,support_intelligence
ai_data_governance_gateway,DP-007,ai_governance_gateway
ai_data_governance_gateway,DP-008,semantic_metrics_layer
ai_data_governance_gateway,DP-009,data_quality_certification
ai_data_governance_gateway,DP-010,pipeline_reliability_monitoring
ai_data_governance_gateway,DP-011,supply_chain_risk_monitoring
ai_data_governance_gateway,DP-012,executive_reporting_mart
